date,cases,deaths,country,population,cumulative_cases,cases_per100000,cases_7day_rollmean,cumulative_deaths,deaths_per100000,deaths_7day_rollmean
2020-03-19,33,0,Russia,114587226,147,0.12828655089355248,17.428571428571427,0,0,0
2020-03-20,52,0,Russia,114587226,199,0.17366682740011524,24.142857142857142,0,0,0
2020-03-21,54,0,Russia,114587226,253,0.22079249915693044,29.714285714285715,0,0,0
2020-03-22,53,0,Russia,114587226,306,0.26704547328861944,35.285714285714285,0,0,0
2020-03-23,132,0,Russia,114587226,438,0.3822415598052788,53.57142857142857,0,0,0
2020-03-24,0,0,Russia,114587226,438,0.3822415598052788,49.285714285714285,0,0,0
2020-03-25,57,0,Russia,114587226,495,0.4319853244374726,54.42857142857143,0,0,0
2020-03-26,163,0,Russia,114587226,658,0.5742350373330444,73,0,0,0
2020-03-27,182,2,Russia,114587226,840,0.7330660051060142,91.57142857142857,2,0.0017453952502524146,0.2857142857142857
2020-03-28,196,2,Russia,114587226,1036,0.9041147396307507,111.85714285714286,4,0.003490790500504829,0.5714285714285714
2020-03-29,228,1,Russia,114587226,1264,1.103089798159526,136.85714285714286,5,0.004363488125631036,0.7142857142857143
2020-03-30,270,3,Russia,114587226,1534,1.338718156943602,156.57142857142858,8,0.006981581001009658,1.1428571428571428
2020-03-31,302,2,Russia,114587226,1836,1.6022728397317165,199.71428571428572,10,0.008726976251262073,1.4285714285714286
2020-04-01,501,7,Russia,114587226,2337,2.0394943499199463,263.14285714285717,17,0.014835859627145523,2.4285714285714284
2020-04-02,440,7,Russia,114587226,2777,2.4234813049754775,302.7142857142857,24,0.020944743003028975,3.4285714285714284
2020-04-03,771,6,Russia,114587226,3548,3.0963311739477835,386.85714285714283,30,0.026180928753786217,4
2020-04-04,601,4,Russia,114587226,4149,3.620822446648634,444.7142857142857,34,0.029671719254291046,4.285714285714286
2020-04-05,582,9,Russia,114587226,4731,4.128732464472087,495.2857142857143,43,0.03752599788042691,5.428571428571429
2020-04-06,658,2,Russia,114587226,5389,4.702967501805131,550.7142857142857,45,0.03927139313067933,5.285714285714286
2020-04-07,954,2,Russia,114587226,6343,5.535521036175533,643.8571428571429,47,0.04101678838093174,5.285714285714286
2020-04-08,1154,11,Russia,114587226,7497,6.542614095571176,737.1428571428571,58,0.05061646225732002,5.857142857142857
2020-04-09,1175,5,Russia,114587226,8672,7.568033805094469,842.1428571428571,63,0.05497995038295106,5.571428571428571
2020-04-10,1459,13,Russia,114587226,10131,8.841299640153606,940.4285714285714,76,0.06632501950959176,6.571428571428571
2020-04-11,1786,18,Russia,114587226,11917,10.399937598629013,1109.7142857142858,94,0.08203357676186349,8.571428571428571
2020-04-12,1667,12,Russia,114587226,13584,11.8547245397144,1264.7142857142858,106,0.09250594826337798,9
2020-04-13,2186,24,Russia,114587226,15770,13.76244154824029,1483,130,0.11345069126640694,12.142857142857142
