date,cases,deaths,country,population,continent,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_7day_rollsum_per100000,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_7day_rollsum_per100000,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-06-03,318,55,Italy,60359546,Europe,233515,386.87335388506733,0.5268429288715989,422.85714285714283,2960,4.903946759307964,486.85714285714283,6816,0.806595104040615,11.29233145656861,33530,55.55045095932299,82.14285714285714,575,0.9526247927709728,97.21428571428571,1361,0.16105867614426012,2.2548214660196417
2020-06-04,321,71,Italy,60359546,Europe,233836,387.40516703024906,0.5318131451817083,385.2857142857143,2697,4.468224462788371,462.2857142857143,6472,0.7658866656911473,10.722413319676063,33601,55.66807941199558,75.57142857142857,529,0.8764148093492949,90.78571428571429,1271,0.15040821262259707,2.105714976716359
2020-06-05,177,88,Italy,60359546,Europe,234013,387.6984097925455,0.29324276229645596,325.85714285714283,2281,3.779021134453198,429.07142857142856,6007,0.7108592708292215,9.952029791609101,33689,55.81387242375879,78.14285714285714,547,0.9062361072099515,85.92857142857143,1203,0.14236119573956277,1.9930567403538788
2020-06-06,518,85,Italy,60359546,Europe,234531,388.5566004754244,0.8581906828788938,326.14285714285717,2283,3.7823346119932713,419.5,5873,0.695001914030301,9.730026796424214,33774,55.954695219211885,77.85714285714286,545,0.9029226296698786,82.71428571428571,1158,0.13703596397873122,1.9185034957022373
2020-06-07,270,72,Italy,60359546,Europe,234801,389.0039199433342,0.4473194679098481,305.2857142857143,2137,3.540450751567946,391,5474,0.6477848590842615,9.06898802717966,33846,56.073980410654514,72.28571428571429,506,0.838309817638456,79.35714285714286,1111,0.13147405525075165,1.8406367735105231
2020-06-08,197,53,Italy,60359546,Europe,234998,389.33029748103144,0.32637753769718547,282.7142857142857,1979,3.278686025902183,367.14285714285717,5140,0.6082598055705343,8.515637277987478,33899,56.16178756546645,69.14285714285714,484,0.8018615646976536,79.57142857142857,1114,0.13182907070147376,1.8456069898206324
2020-06-09,280,65,Italy,60359546,Europe,235278,389.79418433664165,0.4638868556102128,297.2857142857143,2081,3.447673380445903,365.7142857142857,5120,0.6058930358990535,8.48250250258675,33964,56.26947558551882,69.85714285714286,489,0.810145258547836,77.64285714285714,1087,0.12863393164497483,1.8008750430296476
2020-06-10,283,79,Italy,60359546,Europe,235561,390.26304140856195,0.4688570719203223,292.2857142857143,2046,3.3896875234946267,357.57142857142856,5006,0.5924024487716136,8.293634282802591,34043,56.4003579483517,73.28571428571429,513,0.8499069890287114,77.71428571428571,1088,0.12875227012854887,1.8025317817996842
2020-06-11,202,71,Italy,60359546,Europe,235763,390.59770264010933,0.3346612315473678,275.2857142857143,1927,3.192535609860286,330.2857142857143,4624,0.5471971480463327,7.6607600726486575,34114,56.51798640102429,73.28571428571429,513,0.8499069890287114,74.42857142857143,1042,0.12330869988414331,1.7263217983780064
2020-06-12,379,53,Italy,60359546,Europe,236142,391.22560663395313,0.6279039938438238,304.14285714285717,2129,3.527196841407654,315,4410,0.5218727125614895,7.306217975860852,34167,56.60579355583622,68.28571428571429,478,0.7919211320774348,73.21428571428571,1025,0.12129694566338473,1.6981572392873863
